from_State,from_Division,from_Latitude,from_Longitude,to_State,to_Division,to_Latitude,to_Longitude,distance_metres,time_minutes,trans_type
NSW,Barton,-33.956,151.129,NSW,Lyne,-31.602,152.277,386292,17315,car
NSW,Barton,-33.956,151.129,NSW,Macarthur,-34.065,150.764,45535,2216,car
NSW,Barton,-33.956,151.129,NSW,Mackellar,-33.669,151.253,46552,3505,car
NSW,Barton,-33.956,151.129,NSW,Macquarie,-33.475,150.642,96611,6008,car
NSW,Barton,-33.956,151.129,NSW,McMahon,-33.837,150.859,40876,2006,car
NSW,Barton,-33.956,151.129,NSW,Mitchell,-33.71,150.96,65069,3223,car
NSW,Barton,-33.956,151.129,NSW,New England,-30.319,151.315,519340,23328,car
NSW,Barton,-33.956,151.129,NSW,Newcastle,-32.841,151.753,196248,9212,car
NSW,Barton,-33.956,151.129,NSW,North Sydney,-33.816,151.184,25852,1750,car
NSW,Barton,-33.956,151.129,NSW,Page,-29.275,152.804,704513,28887,car
NSW,Barton,-33.956,151.129,NSW,Parkes,-30.887,147.373,620191,26743,car
NSW,Barton,-33.956,151.129,NSW,Parramatta,-33.809,151.011,25302,2274,car
NSW,Barton,-33.956,151.129,NSW,Paterson,-32.40694,151.91806,242472,11228,car
NSW,Barton,-33.956,151.129,NSW,Reid,-33.853,151.084,18815,1915,car
NSW,Barton,-33.956,151.129,NSW,Richmond,-28.511,153.363,809049,33614,car
NSW,Barton,-33.956,151.129,NSW,Riverina,-34.427,146.7,500652,18832,car
NSW,Barton,-33.956,151.129,NSW,Robertson,-33.382,151.213,91741,4780,car
NSW,Barton,-33.956,151.129,NSW,Shortland,-33.112,151.617,151630,7475,car
NSW,Barton,-33.956,151.129,NSW,Sydney,-33.895,151.2,10897,1439,car
NSW,Barton,-33.956,151.129,NSW,Watson,-33.908,151.077,9147,1156,car
NSW,Barton,-33.956,151.129,NSW,Wentworth,-33.883,151.253,20287,1752,car
NSW,Barton,-33.956,151.129,NSW,Werriwa,-33.981,150.843,30714,1874,car
NSW,Barton,-33.956,151.129,NSW,Whitlam,-34.534,150.552,117375,5274,car
NSW,Barton,-33.956,151.129,NSW,Sydney Airport,-33.940248,151.175186,7723,940,car
NSW,Bennelong,-33.793,151.099,NSW,Berowra,-33.568,151.047,33790,2980,car
NSW,Bennelong,-33.793,151.099,NSW,Blaxland,-33.888,151,18815,1715,car
NSW,Bennelong,-33.793,151.099,NSW,Bradfield,-33.732,151.146,11635,1025,car
NSW,Bennelong,-33.793,151.099,NSW,Calare,-33.306,148.922,265754,13089,car
NSW,Bennelong,-33.793,151.099,NSW,Chifley,-33.735,150.838,32750,1815,car
NSW,Bennelong,-33.793,151.099,NSW,Cook,-34.031,151.1,30897,2812,car
NSW,Bennelong,-33.793,151.099,NSW,Cowper,-30.384,152.87,514631,19983,car
NSW,Bennelong,-33.793,151.099,NSW,Cunningham,-34.259,150.916,66028,4436,car
NSW,Bennelong,-33.793,151.099,NSW,Dobell,-33.248,151.366,89084,4410,car
NSW,Bennelong,-33.793,151.099,NSW,Eden-Monaro,-36.292,149.344,423386,18044,car
NSW,Bennelong,-33.793,151.099,NSW,Farrer,-32.501,143.311,974753,41805,car
NSW,Bennelong,-33.793,151.099,NSW,Fowler,-33.9,150.877,44629,2479,car
NSW,Bennelong,-33.793,151.099,NSW,Gilmore,-35.067,150.398,193753,9708,car
NSW,Bennelong,-33.793,151.099,NSW,Grayndler,-33.897,151.148,18357,1779,car
NSW,Bennelong,-33.793,151.099,NSW,Greenway,-33.733,150.913,25755,1496,car
NSW,Bennelong,-33.793,151.099,NSW,Hughes,-33.992,150.975,36447,2901,car
NSW,Bennelong,-33.793,151.099,NSW,Hume,-34.409,149.045,277514,11570,car
NSW,Bennelong,-33.793,151.099,NSW,Hunter,-32.375,150.778,241980,10310,car
NSW,Bennelong,-33.793,151.099,NSW,Kingsford Smith,-33.949,151.231,28616,1818,car
NSW,Bennelong,-33.793,151.099,NSW,Lindsay,-33.751,150.711,47413,2619,car
NSW,Bennelong,-33.793,151.099,NSW,Lyne,-31.602,152.277,352947,15561,car
NSW,Bennelong,-33.793,151.099,NSW,Macarthur,-34.065,150.764,55086,3188,car
NSW,Bennelong,-33.793,151.099,NSW,Mackellar,-33.669,151.253,25223,1968,car
NSW,Bennelong,-33.793,151.099,NSW,Macquarie,-33.475,150.642,75092,5206,car
NSW,Bennelong,-33.793,151.099,NSW,McMahon,-33.837,150.859,35711,2002,car
NSW,Bennelong,-33.793,151.099,NSW,Mitchell,-33.71,150.96,24072,1778,car
NSW,Bennelong,-33.793,151.099,NSW,New England,-30.319,151.315,485995,21574,car
NSW,Bennelong,-33.793,151.099,NSW,Newcastle,-32.841,151.753,162903,7458,car
NSW,Bennelong,-33.793,151.099,NSW,North Sydney,-33.816,151.184,10137,826,car
NSW,Bennelong,-33.793,151.099,NSW,Page,-29.275,152.804,671168,27133,car
NSW,Bennelong,-33.793,151.099,NSW,Parkes,-30.887,147.373,606500,26324,car
NSW,Bennelong,-33.793,151.099,NSW,Parramatta,-33.809,151.011,10020,1003,car
NSW,Bennelong,-33.793,151.099,NSW,Paterson,-32.40694,151.91806,209126,9475,car
NSW,Bennelong,-33.793,151.099,NSW,Reid,-33.853,151.084,9104,908,car
NSW,Bennelong,-33.793,151.099,NSW,Richmond,-28.511,153.363,775704,31860,car
NSW,Bennelong,-33.793,151.099,NSW,Riverina,-34.427,146.7,510204,19803,car
NSW,Bennelong,-33.793,151.099,NSW,Robertson,-33.382,151.213,58395,3026,car
NSW,Bennelong,-33.793,151.099,NSW,Shortland,-33.112,151.617,118284,5721,car
NSW,Bennelong,-33.793,151.099,NSW,Sydney,-33.895,151.2,22104,1715,car
NSW,Bennelong,-33.793,151.099,NSW,Watson,-33.908,151.077,15226,1309,car
NSW,Bennelong,-33.793,151.099,NSW,Wentworth,-33.883,151.253,22625,1741,car
NSW,Bennelong,-33.793,151.099,NSW,Werriwa,-33.981,150.843,40265,2845,car
NSW,Bennelong,-33.793,151.099,NSW,Whitlam,-34.534,150.552,126927,6245,car
NSW,Bennelong,-33.793,151.099,NSW,Sydney Airport,-33.940248,151.175186,30302,2051,car
NSW,Berowra,-33.568,151.047,NSW,Blaxland,-33.888,151,45988,4092,car
NSW,Berowra,-33.568,151.047,NSW,Bradfield,-33.732,151.146,31268,2949,car
NSW,Berowra,-33.568,151.047,NSW,Calare,-33.306,148.922,257485,13607,car
NSW,Berowra,-33.568,151.047,NSW,Chifley,-33.735,150.838,42445,3269,car
NSW,Berowra,-33.568,151.047,NSW,Cook,-34.031,151.1,76762,5030,car
NSW,Berowra,-33.568,151.047,NSW,Cowper,-30.384,152.87,521255,20970,car
NSW,Berowra,-33.568,151.047,NSW,Cunningham,-34.259,150.916,95108,7006,car
NSW,Berowra,-33.568,151.047,NSW,Dobell,-33.248,151.366,95708,5398,car
NSW,Berowra,-33.568,151.047,NSW,Eden-Monaro,-36.292,149.344,456062,19761,car
NSW,Berowra,-33.568,151.047,NSW,Farrer,-32.501,143.311,925569,43050,car
NSW,Berowra,-33.568,151.047,NSW,Fowler,-33.9,150.877,62492,4134,car
NSW,Berowra,-33.568,151.047,NSW,Gilmore,-35.067,150.398,249061,11769,car
NSW,Berowra,-33.568,151.047,NSW,Grayndler,-33.897,151.148,59639,4131,car
NSW,Berowra,-33.568,151.047,NSW,Greenway,-33.733,150.913,33401,2806,car
NSW,Berowra,-33.568,151.047,NSW,Hughes,-33.992,150.975,81879,5139,car
NSW,Berowra,-33.568,151.047,NSW,Hume,-34.409,149.045,310189,13292,car
NSW,Berowra,-33.568,151.047,NSW,Hunter,-32.375,150.778,248603,11298,car
NSW,Berowra,-33.568,151.047,NSW,Kingsford Smith,-33.949,151.231,61280,3927,car
NSW,Berowra,-33.568,151.047,NSW,Lindsay,-33.751,150.711,56255,3984,car
NSW,Berowra,-33.568,151.047,NSW,Lyne,-31.602,152.277,359571,16549,car
NSW,Berowra,-33.568,151.047,NSW,Macarthur,-34.065,150.764,87762,4910,car
NSW,Berowra,-33.568,151.047,NSW,Mackellar,-33.669,151.253,45140,3871,car
NSW,Berowra,-33.568,151.047,NSW,Macquarie,-33.475,150.642,71605,5502,car
NSW,Berowra,-33.568,151.047,NSW,McMahon,-33.837,150.859,54634,3627,car
NSW,Berowra,-33.568,151.047,NSW,Mitchell,-33.71,150.96,29020,2272,car
NSW,Berowra,-33.568,151.047,NSW,New England,-30.319,151.315,492618,22562,car
NSW,Berowra,-33.568,151.047,NSW,Newcastle,-32.841,151.753,169527,8446,car
NSW,Berowra,-33.568,151.047,NSW,North Sydney,-33.816,151.184,42801,2935,car
NSW,Berowra,-33.568,151.047,NSW,Page,-29.275,152.804,677792,28121,car
NSW,Berowra,-33.568,151.047,NSW,Parkes,-30.887,147.373,598231,26843,car
NSW,Berowra,-33.568,151.047,NSW,Parramatta,-33.809,151.011,35659,3071,car
NSW,Berowra,-33.568,151.047,NSW,Paterson,-32.40694,151.91806,215750,10463,car
NSW,Berowra,-33.568,151.047,NSW,Reid,-33.853,151.084,42722,3600,car
NSW,Berowra,-33.568,151.047,NSW,Richmond,-28.511,153.363,782328,32848,car
NSW,Berowra,-33.568,151.047,NSW,Riverina,-34.427,146.7,542879,21520,car
NSW,Berowra,-33.568,151.047,NSW,Robertson,-33.382,151.213,65019,4014,car
NSW,Berowra,-33.568,151.047,NSW,Shortland,-33.112,151.617,124908,6709,car
NSW,Berowra,-33.568,151.047,NSW,Sydney,-33.895,151.2,54768,3824,car
NSW,Berowra,-33.568,151.047,NSW,Watson,-33.908,151.077,46699,3922,car
NSW,Berowra,-33.568,151.047,NSW,Wentworth,-33.883,151.253,55289,3851,car
NSW,Berowra,-33.568,151.047,NSW,Werriwa,-33.981,150.843,74721,4611,car
NSW,Berowra,-33.568,151.047,NSW,Whitlam,-34.534,150.552,159603,7967,car
NSW,Berowra,-33.568,151.047,NSW,Sydney Airport,-33.940248,151.175186,62966,4161,car
NSW,Blaxland,-33.888,151,NSW,Bradfield,-33.732,151.146,27984,2480,car
NSW,Blaxland,-33.888,151,NSW,Calare,-33.306,148.922,257325,12930,car
NSW,Blaxland,-33.888,151,NSW,Chifley,-33.735,150.838,31503,1975,car
NSW,Blaxland,-33.888,151,NSW,Cook,-34.031,151.1,29208,2253,car
NSW,Blaxland,-33.888,151,NSW,Cowper,-30.384,152.87,528622,21393,car
NSW,Blaxland,-33.888,151,NSW,Cunningham,-34.259,150.916,55451,3651,car
NSW,Blaxland,-33.888,151,NSW,Dobell,-33.248,151.366,103075,5821,car
NSW,Blaxland,-33.888,151,NSW,Eden-Monaro,-36.292,149.344,407356,17005,car
NSW,Blaxland,-33.888,151,NSW,Farrer,-32.501,143.311,958723,40765,car
NSW,Blaxland,-33.888,151,NSW,Fowler,-33.9,150.877,15085,1399,car
NSW,Blaxland,-33.888,151,NSW,Gilmore,-35.067,150.398,183177,8924,car
NSW,Blaxland,-33.888,151,NSW,Grayndler,-33.897,151.148,17139,1910,car
NSW,Blaxland,-33.888,151,NSW,Greenway,-33.733,150.913,37893,2186,car
NSW,Blaxland,-33.888,151,NSW,Hughes,-33.992,150.975,18482,1792,car
NSW,Blaxland,-33.888,151,NSW,Hume,-34.409,149.045,261483,10531,car
NSW,Blaxland,-33.888,151,NSW,Hunter,-32.375,150.778,255971,11721,car
NSW,Blaxland,-33.888,151,NSW,Kingsford Smith,-33.949,151.231,29630,2108,car
NSW,Blaxland,-33.888,151,NSW,Lindsay,-33.751,150.711,38983,2461,car
NSW,Blaxland,-33.888,151,NSW,Lyne,-31.602,152.277,366938,16972,car
NSW,Blaxland,-33.888,151,NSW,Macarthur,-34.065,150.764,39056,2149,car
NSW,Blaxland,-33.888,151,NSW,Mackellar,-33.669,151.253,41572,3423,car
NSW,Blaxland,-33.888,151,NSW,Macquarie,-33.475,150.642,74223,5434,car
NSW,Blaxland,-33.888,151,NSW,McMahon,-33.837,150.859,17171,1610,car
NSW,Blaxland,-33.888,151,NSW,Mitchell,-33.71,150.96,26553,2467,car
NSW,Blaxland,-33.888,151,NSW,New England,-30.319,151.315,499986,22985,car
NSW,Blaxland,-33.888,151,NSW,Newcastle,-32.841,151.753,176894,8869,car
NSW,Blaxland,-33.888,151,NSW,North Sydney,-33.816,151.184,26806,2332,car
NSW,Blaxland,-33.888,151,NSW,Page,-29.275,152.804,685159,28544,car
NSW,Blaxland,-33.888,151,NSW,Parkes,-30.887,147.373,598070,26166,car
NSW,Blaxland,-33.888,151,NSW,Parramatta,-33.809,151.011,11077,1324,car
NSW,Blaxland,-33.888,151,NSW,Paterson,-32.40694,151.91806,223118,10885,car
NSW,Blaxland,-33.888,151,NSW,Reid,-33.853,151.084,12726,1334,car
NSW,Blaxland,-33.888,151,NSW,Richmond,-28.511,153.363,789695,33271,car
NSW,Blaxland,-33.888,151,NSW,Riverina,-34.427,146.7,494173,18764,car
NSW,Blaxland,-33.888,151,NSW,Robertson,-33.382,151.213,72387,4437,car
NSW,Blaxland,-33.888,151,NSW,Shortland,-33.112,151.617,132276,7132,car
NSW,Blaxland,-33.888,151,NSW,Sydney,-33.895,151.2,32742,2312,car
NSW,Blaxland,-33.888,151,NSW,Watson,-33.908,151.077,9423,1052,car
NSW,Blaxland,-33.888,151,NSW,Wentworth,-33.883,151.253,37447,2575,car
NSW,Blaxland,-33.888,151,NSW,Werriwa,-33.981,150.843,21431,1856,car
NSW,Blaxland,-33.888,151,NSW,Whitlam,-34.534,150.552,110897,5206,car
NSW,Blaxland,-33.888,151,NSW,Sydney Airport,-33.940248,151.175186,24883,1762,car
NSW,Bradfield,-33.732,151.146,NSW,Calare,-33.306,148.922,279322,13433,car
NSW,Bradfield,-33.732,151.146,NSW,Chifley,-33.735,150.838,38434,1955,car
NSW,Bradfield,-33.732,151.146,NSW,Cook,-34.031,151.1,48212,3010,car
NSW,Bradfield,-33.732,151.146,NSW,Cowper,-30.384,152.87,506259,19319,car
NSW,Bradfield,-33.732,151.146,NSW,Cunningham,-34.259,150.916,75122,5138,car
NSW,Bradfield,-33.732,151.146,NSW,Dobell,-33.248,151.366,80712,3746,car
NSW,Bradfield,-33.732,151.146,NSW,Eden-Monaro,-36.292,149.344,452051,18453,car
NSW,Bradfield,-33.732,151.146,NSW,Farrer,-32.501,143.311,1003418,42213,car
NSW,Bradfield,-33.732,151.146,NSW,Fowler,-33.9,150.877,58481,2820,car
NSW,Bradfield,-33.732,151.146,NSW,Gilmore,-35.067,150.398,202847,10410,car
NSW,Bradfield,-33.732,151.146,NSW,Grayndler,-33.897,151.148,31089,2111,car
NSW,Bradfield,-33.732,151.146,NSW,Greenway,-33.733,150.913,31438,1636,car
NSW,Bradfield,-33.732,151.146,NSW,Hughes,-33.992,150.975,45541,3603,car
NSW,Bradfield,-33.732,151.146,NSW,Hume,-34.409,149.045,306179,11979,car
NSW,Bradfield,-33.732,151.146,NSW,Hunter,-32.375,150.778,233608,9647,car
NSW,Bradfield,-33.732,151.146,NSW,Kingsford Smith,-33.949,151.231,32730,1907,car
NSW,Bradfield,-33.732,151.146,NSW,Lindsay,-33.751,150.711,52415,2999,car
NSW,Bradfield,-33.732,151.146,NSW,Lyne,-31.602,152.277,344575,14898,car
NSW,Bradfield,-33.732,151.146,NSW,Macarthur,-34.065,150.764,83751,3597,car
NSW,Bradfield,-33.732,151.146,NSW,Mackellar,-33.669,151.253,15614,1168,car
NSW,Bradfield,-33.732,151.146,NSW,Macquarie,-33.475,150.642,80775,5346,car
NSW,Bradfield,-33.732,151.146,NSW,McMahon,-33.837,150.859,50623,2319,car
NSW,Bradfield,-33.732,151.146,NSW,Mitchell,-33.71,150.96,29756,1918,car
NSW,Bradfield,-33.732,151.146,NSW,New England,-30.319,151.315,477623,20911,car
NSW,Bradfield,-33.732,151.146,NSW,Newcastle,-32.841,151.753,154531,6795,car
NSW,Bradfield,-33.732,151.146,NSW,North Sydney,-33.816,151.184,14251,915,car
NSW,Bradfield,-33.732,151.146,NSW,Page,-29.275,152.804,662796,26470,car
NSW,Bradfield,-33.732,151.146,NSW,Parkes,-30.887,147.373,620068,26669,car
NSW,Bradfield,-33.732,151.146,NSW,Parramatta,-33.809,151.011,26645,1733,car
NSW,Bradfield,-33.732,151.146,NSW,Paterson,-32.40694,151.91806,200754,8811,car
NSW,Bradfield,-33.732,151.146,NSW,Reid,-33.853,151.084,18198,1610,car
NSW,Bradfield,-33.732,151.146,NSW,Richmond,-28.511,153.363,767332,31197,car
NSW,Bradfield,-33.732,151.146,NSW,Riverina,-34.427,146.7,538868,20212,car
NSW,Bradfield,-33.732,151.146,NSW,Robertson,-33.382,151.213,50024,2363,car
NSW,Bradfield,-33.732,151.146,NSW,Shortland,-33.112,151.617,109912,5058,car
NSW,Bradfield,-33.732,151.146,NSW,Sydney,-33.895,151.2,26218,1804,car
NSW,Bradfield,-33.732,151.146,NSW,Watson,-33.908,151.077,24320,2011,car
NSW,Bradfield,-33.732,151.146,NSW,Wentworth,-33.883,151.253,26739,1831,car
NSW,Bradfield,-33.732,151.146,NSW,Werriwa,-33.981,150.843,70711,3298,car
NSW,Bradfield,-33.732,151.146,NSW,Whitlam,-34.534,150.552,155592,6654,car
NSW,Bradfield,-33.732,151.146,NSW,Sydney Airport,-33.940248,151.175186,34416,2141,car
NSW,Calare,-33.306,148.922,NSW,Chifley,-33.735,150.838,231614,11866,car
NSW,Calare,-33.306,148.922,NSW,Cook,-34.031,151.1,285218,14208,car
NSW,Calare,-33.306,148.922,NSW,Cowper,-30.384,152.87,671524,28526,car
NSW,Calare,-33.306,148.922,NSW,Cunningham,-34.259,150.916,308099,15264,car
NSW,Calare,-33.306,148.922,NSW,Dobell,-33.248,151.366,334015,16326,car
NSW,Calare,-33.306,148.922,NSW,Eden-Monaro,-36.292,149.344,413941,18658,car
NSW,Calare,-33.306,148.922,NSW,Farrer,-32.501,143.311,676624,30040,car
NSW,Calare,-33.306,148.922,NSW,Fowler,-33.9,150.877,249121,12382,car
NSW,Calare,-33.306,148.922,NSW,Gilmore,-35.067,150.398,334104,15603,car
NSW,Calare,-33.306,148.922,NSW,Grayndler,-33.897,151.148,266430,13501,car
NSW,Calare,-33.306,148.922,NSW,Greenway,-33.733,150.913,237656,12055,car
NSW,Calare,-33.306,148.922,NSW,Hughes,-33.992,150.975,268508,13392,car
NSW,Calare,-33.306,148.922,NSW,Hume,-34.409,149.045,174120,7751,car
NSW,Calare,-33.306,148.922,NSW,Hunter,-32.375,150.778,358846,15119,car
NSW,Calare,-33.306,148.922,NSW,Kingsford Smith,-33.949,151.231,289707,14061,car
NSW,Calare,-33.306,148.922,NSW,Lindsay,-33.751,150.711,219495,11410,car
NSW,Calare,-33.306,148.922,NSW,Lyne,-31.602,152.277,597878,27477,car
NSW,Calare,-33.306,148.922,NSW,Macarthur,-34.065,150.764,274391,13158,car
NSW,Calare,-33.306,148.922,NSW,Mackellar,-33.669,151.253,279752,14283,car
NSW,Calare,-33.306,148.922,NSW,Macquarie,-33.475,150.642,212607,11323,car
NSW,Calare,-33.306,148.922,NSW,McMahon,-33.837,150.859,241263,11881,car
NSW,Calare,-33.306,148.922,NSW,Mitchell,-33.71,150.96,237792,12386,car
NSW,Calare,-33.306,148.922,NSW,New England,-30.319,151.315,543419,22893,car
NSW,Calare,-33.306,148.922,NSW,Newcastle,-32.841,151.753,407834,19375,car
NSW,Calare,-33.306,148.922,NSW,North Sydney,-33.816,151.184,266313,13151,car
NSW,Calare,-33.306,148.922,NSW,Page,-29.275,152.804,790731,34706,car
NSW,Calare,-33.306,148.922,NSW,Parkes,-30.887,147.373,373893,15215,car
NSW,Calare,-33.306,148.922,NSW,Parramatta,-33.809,151.011,254356,12571,car
NSW,Calare,-33.306,148.922,NSW,Paterson,-32.40694,151.91806,454057,21391,car
NSW,Calare,-33.306,148.922,NSW,Reid,-33.853,151.084,259142,12738,car
NSW,Calare,-33.306,148.922,NSW,Richmond,-28.511,153.363,897705,39542,car
NSW,Calare,-33.306,148.922,NSW,Riverina,-34.427,146.7,301405,11755,car
NSW,Calare,-33.306,148.922,NSW,Robertson,-33.382,151.213,303326,14943,car
NSW,Calare,-33.306,148.922,NSW,Shortland,-33.112,151.617,363215,17638,car
NSW,Calare,-33.306,148.922,NSW,Sydney,-33.895,151.2,271791,14189,car
NSW,Calare,-33.306,148.922,NSW,Watson,-33.908,151.077,263119,13060,car
NSW,Calare,-33.306,148.922,NSW,Wentworth,-33.883,151.253,278801,14066,car
NSW,Calare,-33.306,148.922,NSW,Werriwa,-33.981,150.843,261351,12860,car
NSW,Calare,-33.306,148.922,NSW,Whitlam,-34.534,150.552,311007,14576,car
NSW,Calare,-33.306,148.922,NSW,Sydney Airport,-33.940248,151.175186,284960,13716,car
NSW,Chifley,-33.735,150.838,NSW,Cook,-34.031,151.1,59676,3229,car
NSW,Chifley,-33.735,150.838,NSW,Cowper,-30.384,152.87,531420,20484,car
NSW,Chifley,-33.735,150.838,NSW,Cunningham,-34.259,150.916,82558,4286,car
NSW,Chifley,-33.735,150.838,NSW,Dobell,-33.248,151.366,105873,4911,car
